outcome,specification,n,treated_n,control_n,estimate,se,ci_lower,ci_upper,propensity_min,propensity_max,propensity_mean
dv21_ypll,Base covariates only,2899,415,2484,-438.24628567884366,156.52975181752097,-745.0445992411848,-131.44797211650257,0.01,0.960550554926296,0.1432933332978818
dv21_ypll,Base covariates + system-member capacity share,2899,415,2484,-355.09812826486467,153.67277690635774,-656.2967710013259,-53.89948552840349,0.01,0.936965759551391,0.14521254443252443
ct6_hospital_deaths,Base covariates only,2897,415,2482,-3.7238635864403227,6.50394417685838,-16.471594173082746,9.023867000202102,0.01,0.9605645612207013,0.14339097590802807
ct6_hospital_deaths,Base covariates + system-member capacity share,2897,415,2482,0.31770382906578293,5.403242714338271,-10.272651891037228,10.908059549168794,0.01,0.936991990136393,0.1453090127265365
