analysis_level,measure,n,system_member_n,non_system_n,system_member_mean_pct,non_system_mean_pct,difference_pct_points,smd
Hospital,MO11 staff-scheduling AI,2301,1690,611,24.437869822485204,4.909983633387888,19.52788618909732,0.5741673488191241
Hospital,MO14 routine-task AI,2301,1690,611,34.437869822485204,9.983633387888707,24.4542364345965,0.6155530464041478
Hospital,MO21 in-hospital robotics,3045,2197,848,58.71643149749659,33.60849056603774,25.107940931458856,0.5204155791748407
County,System-member share of AHA adjusted patient days,3080,417,2663,82.82957968511863,43.02793349666558,39.801646188453056,1.0237063848765207
County,System-member share of AHA hospitals,3080,417,2663,80.12531563424272,43.032441199186785,37.09287443505594,0.9849434044714398
County,AHA hospitals in county,3080,417,2663,5.887290167865707,1.349981224183252,4.537308943682455,0.6960249755407246
