level,contrast,specification,n,treated_n,control_n,estimate,se,ci_lower,ci_upper,propensity_min,propensity_max,propensity_mean
Hospital,mo11_staff_scheduling -> sep1_2023,Base covariates only,1318,286,1032,1.0910368238798778,1.253212400180698,-1.36525948047429,3.5473331282340457,0.01,0.9086968595291544,0.21753909219069825
Hospital,mo11_staff_scheduling -> sep1_2023,Base + RN staffing/CAPEX/HCRIS/HHI proxies,1318,286,1032,0.831190423308772,1.315506041673246,-1.7472014183707905,3.4095822649883343,0.01,0.9427604953511483,0.21758252078518844
Hospital,mo14_routine_tasks -> pn_mort_2023,Base covariates only,1563,503,1060,-0.31501718743255686,0.16028880429179793,-0.6291832438444808,-0.0008511310206329448,0.01,0.9103388861730467,0.3220868786261345
Hospital,mo14_routine_tasks -> pn_mort_2023,Base + RN staffing/CAPEX/HCRIS/HHI proxies,1563,503,1060,-0.2750047926741831,0.1475486339846607,-0.5642001152841181,0.014190529935751872,0.01,0.9216362864218883,0.3220936290939194
County,mo14_any -> dv21_ypll,Base covariates only,2899,415,2484,-438.24628567884366,156.52975181752097,-745.0445992411848,-131.44797211650257,0.01,0.960550554926296,0.1432933332978818
County,mo14_any -> dv21_ypll,Base + RN staffing/CAPEX/HCRIS/HHI proxies,2899,415,2484,-279.6318147433501,117.5038528652384,-509.9393663592174,-49.32426312748285,0.01,0.9557942763490611,0.14654147321010275
County,mo14_any -> ct6_hospital_deaths,Base covariates only,2897,415,2482,-3.7238635864403227,6.50394417685838,-16.471594173082746,9.023867000202102,0.01,0.9605645612207013,0.14339097590802807
County,mo14_any -> ct6_hospital_deaths,Base + RN staffing/CAPEX/HCRIS/HHI proxies,2897,415,2482,-0.06209669706591532,6.932849420225199,-13.650481560707304,13.526288166575474,0.01,0.9557942771563923,0.1466357373491941
