county_fips,state_fips,census_division,population,ypll_2019,health_behaviors,social_economic,physical_environment,medicaid_expansion,dv21_ypll,ct6_hospital_deaths,mo14_pct,mo21_pct,rn_fte_per_1000_adjpd,rn_fte_per_bed,rn_vacancy_rate,contract_rn_share,capex_per_adjpd,capex_per_sqft,adjpd_weighted_cbsa_hhi,hcris_operating_margin,hcris_total_margin,hcris_days_cash_on_hand,county_hhi,ln_capex_per_adjpd,ln_capex_per_sqft,hcris_operating_margin_w,hcris_total_margin_w,hcris_days_cash_on_hand_w,ln_hcris_days_cash_on_hand,county_hhi_per_1000,adjpd_weighted_cbsa_hhi_per_1000,rn_fte_per_1000_adjpd_missing,rn_fte_per_bed_missing,rn_vacancy_rate_missing,contract_rn_share_missing,ln_capex_per_adjpd_missing,ln_capex_per_sqft_missing,county_hhi_per_1000_missing,adjpd_weighted_cbsa_hhi_per_1000_missing,hcris_operating_margin_w_missing,hcris_total_margin_w_missing,ln_hcris_days_cash_on_hand_missing,mo14_any,mo21_any,log_population
01001,01,5,58761,8824,48.4957909795641898753,10.13413899717852475005,2.7445070803165435800,0,9407.9482421875,226.85319059843372998957864757420063000000,0E-24,0E-24,1.35974347526078662000,0.94366197183098591549,,0.16250000000000000000,32.9041482323334822,18.5920417407258758,3697.01023931647329840000,-0.16990600704681544033,-0.09569771971171220893,0.00409326823215483634,10000.00000000000000000000,3.5235373736357074,2.9751234501460595,-0.16990600704681544,-0.0956977197117122,0.004093268232154837,0.0040849136004838275,10.0,3.6970102393164734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.981233648522853
01003,01,5,233420,7225,27.7422319033741954701,11.1765487150847912176,2.3754497095942497370,0,8981.5751953125,139.44529560407410123616142516832225000000,0E-24,51.5990614893572048,3.40738548690524002000,1.4761904761904762,0.08616780045351473923,,44.2562514532118624,673.6547619047619048,5430.92232052359063040000,0.01439668221253147085,0.11993848678085124636,31.5894162846187077,5430.92232052359063040000,3.8123408142657373,6.514201096185484,0.01439668221253147,0.11993848678085124,31.589416284618707,3.4839875818151413,5.430922320523591,5.430922320523591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.360594684966344
01005,01,5,24877,9586,61.9053240558505058083,12.18161479484289884335,2.5809551417827606110,0,13138.8486328125,261.96010136589469008213967417603365000000,0E-24,0E-24,1.15397296406198483000,0.89361702127659574468,,,,,10000.00000000000000000000,,,,10000.00000000000000000000,,,,,,,10.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.121698960804775
01007,01,5,22251,11784,56.3201137354969977999,14.09170039409771558180,2.7042852163314819400,0,12675.4345703125,299.85676273914699115033928482711374000000,0E-24,0E-24,0.69777719198951784000,0.54216867469879518072,,,,,3154.366721481365983240000,-0.15777502637396419810,0.10206545283885518641,175.1453298978154558,10000.00000000000000000000,,,-0.1577750263739642,0.10206545283885518,175.14532989781546,5.171309392359811,10.0,3.1543667214813658,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010142230404668
01009,01,5,59077,10908,28.2057476992905144061,13.66203347932547337855,2.6517051860690116980,0,11541.4951171875,192.75258802618209523813254148895612000000,0E-24,0E-24,1.45102781136638452000,1.4400000000000000,,,,,3154.366721481365983240000,-0.40572577087524857330,-0.13967235164080942847,0.04989766068835798585,10000.00000000000000000000,,,-0.4057257708752486,-0.13967235164080943,0.049897660688357985,0.04869269340822406,10.0,3.1543667214813658,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.986596956750757
01011,01,5,10328,12067,69.4183374607563018986,15.09710342697799188890,2.56686410307884216780,0,13837.8994140625,488.95576354666085908070214566967155000000,0E-24,0E-24,3.46534653465346535000,1.2962962962962963,,,,,76.649069730835299558327720000,,,,10000.00000000000000000000,,,,,,,10.0,0.0766490697308353,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.242613932526478
01013,01,5,18981,14019,90.7751214748620986932,15.38244155604392290475,2.7553742364048957910,0,12718.6328125,390.67309757292530464273247280376376000000,0E-24,0E-24,1.79691872624974225000,1.00000000000000000000,,,,,76.649069730835299558327720000,-0.39500414468365097427,-0.07211150774313706758,10.3450830500465084,10000.00000000000000000000,,,-0.39500414468365097,-0.07211150774313707,10.345083050046508,2.428784438614575,10.0,0.0766490697308353,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.851193757814993
01015,01,5,116162,12218,46.2892512401938438285,13.9810058048367500063,2.6476798400282859750,0,13197.2578125,305.15838425535719830076870369571288000000,0E-24,0E-24,3.26742744081706586000,1.3753665689149560,,,,,9214.56800172752571340000,-0.10033129784607278980,-0.00517418557499099761,14.0789604032255455,9214.56800172752571340000,,,-0.1003312978460728,-0.005174185574990998,14.078960403225546,2.7133004214252763,9.214568001727526,9.214568001727526,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.662741047541255
01017,01,5,34612,11273,54.8053448392450809511,13.90397162318229681320,2.6844584107398986870,0,12135.4814453125,330.88715516870014534240029721053606000000,0,0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.451955721726629
01019,01,5,25069,11294,25.1444803506135940438,14.53060090970248000235,2.60681032389402389480,0,12412.728515625,195.21705078193909474307982752855925000000,0E-24,0E-24,1.44772935080768059000,0.84444444444444444444,,,,,76.649069730835299558327720000,0.06425978959171921161,0.09946077358739035178,188.0999591048121966,10000.00000000000000000000,,,0.06425978959171921,0.09946077358739035,188.0999591048122,5.242275759402158,10.0,0.0766490697308353,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.129387302044055
