Interaction,Moderator,Treatment,Outcome,N,Control_Mean_CT6,Beta_Moderator,p_Moderator,CI_Moderator_Lower,CI_Moderator_Upper,Beta_Treatment,p_Treatment,CI_Treatment_Lower,CI_Treatment_Upper,Beta_Interaction,p_Interaction,CI_Interaction_Lower,CI_Interaction_Upper,R2,q_Interaction
FA21_PSI90 x MO14_Bridge,fa21_psi_90,mo14_wfaiart,CT6_Hospital_Deaths,2357,255.9076875940111,4.316710274215438,0.7025061158962209,-17.834947111604542,26.46836766003542,-1.0468690105444538,0.8751343070025501,-14.104156348234278,12.010418327145372,-19.050132816430615,0.5436165511233868,-80.52601748734105,42.42575185447981,0.49630624646860055,0.8732079765419354
EF6_OP18b x MO14_Bridge,ef6_op_18b,mo14_wfaiart,CT6_Hospital_Deaths,2357,255.9076875940111,0.24698125539581153,0.0049711409946751085,0.07464520640150049,0.4193173043901226,-8.619184614736639,0.21096810667116872,-22.124009678442377,4.885640448969099,0.3797434730335865,0.0020462402390531422,0.1383623818211415,0.6211245642460316,0.5013123773910975,0.010852539791548276
EF23_SEP1 x MO14_Bridge,ef23_sep_1,mo14_wfaiart,CT6_Hospital_Deaths,2357,255.9076875940111,-0.24383202655074976,0.048889477155387655,-0.48647677001545186,-0.0011872830860476524,-0.5399792742621035,0.9373406747206162,-14.00268625073522,12.922727702211013,0.002459538835277497,0.9956546376201029,-0.8826839720063899,0.8876030496769449,0.49670900294637876,0.9966385330280748
FA21_PSI90 x MO14_MainDF,fa21_psi_90,mo14_ai_automate_routine_tasks_pct,CT6_Hospital_Deaths,2357,256.54750421127244,3.9417922610450447,0.7252590592028917,-18.041458813512175,25.925043335602265,-0.028815930988452233,0.6733034555052468,-0.16277157720098057,0.10513971522407611,-0.19390621401100458,0.5821386510279569,-0.8845738515612058,0.4967614235391966,0.4963190293526326,0.8732079765419354
EF6_OP18b x MO14_MainDF,ef6_op_18b,mo14_ai_automate_routine_tasks_pct,CT6_Hospital_Deaths,2357,256.54750421127244,0.24741687603941562,0.004939370604248198,0.0749035998538917,0.41993015222493957,-0.09152180303923736,0.1937174194878043,-0.22954205068646438,0.04649844460798967,0.003691322580894451,0.003617513263849425,0.00120487838912656,0.0061777667726623416,0.5011568035003686,0.010852539791548276
EF23_SEP1 x MO14_MainDF,ef23_sep_1,mo14_ai_automate_routine_tasks_pct,CT6_Hospital_Deaths,2357,256.54750421127244,-0.2430510721206846,0.04915830572655991,-0.48520614301517917,-0.0008960012261900185,-0.02235796743730311,0.7507081295970095,-0.16028687613896364,0.11557094126435741,-2.0249549596004952e-05,0.9966385330280748,-0.00944073725494949,0.009400238155757478,0.4967245873265721,0.9966385330280748
