Treatment,Outcome,Margin,N,N_Treated,N_Control,Raw_Difference,Adjusted_ATE,Y_treated_mean,Y_control_mean,Pseudo_R2,Model,Effect_OLS,p_value_OLS,Effect_GPS,p_value_GPS,CI_lower_OLS,CI_upper_OLS,CI_lower_GPS,CI_upper_GPS,R2,Exposure_mean,GAM_EDF,Tertile_diff,Tertile_p
mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,Extensive (Any vs None),2896,414.0,2482.0,-93.1778557995485,-15.69578949750192,164.31035756712012,257.4882133666686,0.30959555659643523,Logit + AIPW,,,,,,,,,,,,,
mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,Intensive (More vs Less),414,,,,,,,,"OLS + GPS-IPW (Causal, Adopters Only)",-0.046934989005825434,0.49697527857381785,-0.00860395113629897,0.9121001915441092,-0.18236375860792584,0.08849378059627497,-0.16136647639763083,0.14415857412503288,0.6440071767229065,65.4556669753484,2.3664199574451326,34.40543293274615,4.195608429232261e-06
