Label,Treatment,Outcome,Threshold,N,N_Treated,N_Control,Treatment_Prevalence,Control_Mean,Crossfit_Relative_Change_Pct,Legacy_AIPW_ATE,Legacy_AIPW_CI_Lower,Legacy_AIPW_CI_Upper,Legacy_AIPW_p,Crossfit_AIPW_ATE,Crossfit_AIPW_CI_Lower,Crossfit_AIPW_CI_Upper,Crossfit_AIPW_p,Crossfit_ESS,Crossfit_Max_Weight,Crossfit_P99_Weight,DML_ATE,DML_SE,DML_CI_Lower,DML_CI_Upper,DML_p,TMLE_ATE,TMLE_CI_Lower,TMLE_CI_Upper,TMLE_p,ATO_ATE,ATO_CI_Lower,ATO_CI_Upper,ATO_p,ATO_ESS
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,2898,414,2484,0.14285714285714285,10209.486469557512,-9.557983426644189,-457.51305393257644,-882.699672623618,-111.49902835219613,0.003992015968063872,-975.821024705788,-1378.7660282889124,-572.8760211226636,2.068886916450907e-06,409.0974144664969,100.0,19.55823849965606,-436.9646525209113,341.85987768021687,-1107.0100127741364,233.08070773231353,0.2011795793084441,-412.69860164060583,-676.7363786115652,-148.6608246696464,0.002187378183282185,-201.56953825227944,-328.3010611529883,-70.22368760567633,0.003992015968063872,1743.617682190501
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,2896,414,2482,0.14295580110497239,5876.6705581986125,-7.700161069263519,-376.00287951638074,-944.1710357082271,154.43897784117382,0.13972055888223553,-452.5130984912807,-1094.3339419969905,189.30774501442903,0.16700554222494102,413.00842277059695,100.0,19.55102296435151,164.05060530379063,494.66722899990185,-805.4971635360171,1133.5983741435982,0.7401623857543491,142.00674092918442,-196.97635348833015,480.989835346699,0.4115990663466813,65.55121572519906,-152.1595033261135,306.9719812315018,0.6187624750499002,1743.4535423984344
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,2896,414,2482,0.14295580110497239,257.4882133666686,-9.90059240966714,-16.87353941208326,-29.903471889604862,-6.191087305541113,0.007984031936127744,-25.492858508367927,-37.79750234540421,-13.188214671331641,4.8916686447908475e-05,413.00842277059695,100.0,19.55102296435151,-5.955741928760956,13.237429791964306,-31.901104321010994,19.989620463489082,0.6527704401108383,-5.8367577617625415,-12.93432354756584,1.2608080240407578,0.10699968165032558,-2.8020044252236604,-9.364713324212257,3.680443317547938,0.41916167664670656,1743.4535423984344
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,2898,773,2125,0.266735679779158,10452.04071047794,-6.078605129994916,-384.9560521581152,-587.8936227742469,-141.35992547948626,0.003992015968063872,-635.3382828162692,-891.1427364051713,-379.53382922736705,1.1271782700550403e-06,534.1190667881873,91.37732902987517,15.757420007977684,-347.71121590761425,323.81346848248745,-982.3856141332897,286.9631823180611,0.2829118960113126,-120.0766301657439,-573.029150293986,332.8758899624982,0.6033484533595868,-185.5284031377928,-301.56709651785394,-72.01753702358161,0.003992015968063872,1893.161440579579
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,2896,773,2123,0.2669198895027624,6336.161461287396,-11.068883081921692,-380.42110367588066,-920.9488855605783,202.0812873029798,0.19161676646706588,-701.3423040316828,-1370.087312715851,-32.59729534751443,0.03982704930153513,540.0376835665359,99.50749250892467,16.81633569016034,-138.0304349546447,520.362227783755,-1157.9404014108045,881.8795315015149,0.7908104340814233,-128.14373761054352,-713.1639872674882,456.8765120464011,0.6676893289783412,-61.20035204533372,-243.9628656852117,137.50548805464462,0.5229540918163673,1892.3277420137222
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,2896,773,2123,0.2669198895027624,272.23874998269287,-9.47701801037628,-12.9518328760835,-27.919003394051845,0.054525667692477665,0.059880239520958084,-25.800115367083052,-41.677255042525644,-9.92297569164046,0.0014476861919030526,540.0376835665359,99.50749250892467,16.81633569016034,-5.10017593369529,13.868706286169235,-32.28284025458699,22.082488387196406,0.7130618484098497,-3.2469311171847126,-21.20039297913935,14.706530744769928,0.722985791292611,-1.8303169558527435,-7.213139382104756,3.1821772916445803,0.5269461077844312,1892.3277420137222
