Test,Treatment,Label,Outcome,N,N_Treated,N_Control,Threshold,Treated_Mean_Delta,Control_Mean_Delta,Unadjusted_Difference,ATE_YPLL_Change,CI_Lower,CI_Upper,p_value,Significant,Direction,Interpretation
Delta_Mortality_2019_to_2023,mo14_ai_automate_routine_tasks_pct,MO14 (AI Workflow Automation),YPLL_Change_2019_to_2023,2897,414,2483,0.8992471575327899,-3941.066560742713,-2851.4387051084163,-1089.6278556342968,-70.31013584988659,-875.0870273450661,556.2825712117165,0.7385229540918163,No,Improvement (AI→Less YPLL),70 less YPLL per 100k change vs control
Delta_Mortality_2019_to_2023,mo21_robotics_in_hospital_pct,MO21 (Hospital Robotics),YPLL_Change_2019_to_2023,2897,774,2123,0.0,-4138.481451220701,-2594.695816150192,-1543.7856350705092,-319.6252861045259,-913.7351161294464,229.85298541270203,0.2554890219560878,No,Improvement (AI→Less YPLL),320 less YPLL per 100k change vs control
