result_id,manuscript_location,exposure,outcome,source_frame_n,model_n,estimate,ci_lower,ci_upper,p_value_display,relative_change_pct,source_note
mo11_sep1,Main text Table 2,MO11 staff-scheduling AI,SEP-1 sepsis bundle compliance,6166,2272,2.24,1.03,3.44,<0.05,3.9,"Curated key-result registry for the manuscript-reported hospital confirmatory endpoint; values are adjusted mean differences from the hospital-level AIPW model. Model denominator from accepted manuscript Table 1; source_frame_n is the linked AHA frame, not the endpoint denominator."
mo14_pneumonia,Main text Table 2,MO14 routine-task AI,Pneumonia mortality measure,6166,2795,-0.87,-1.35,-0.40,<0.05,-5.4,"Curated key-result registry for the manuscript-reported hospital confirmatory endpoint; values are adjusted mean differences from the hospital-level AIPW model. Model denominator from accepted manuscript Table 1; source_frame_n is the linked AHA frame, not the endpoint denominator."
