Treatment,Treatment_Col,Outcome,N,OLS_Beta,OLS_p,OLS_CI_Lower,OLS_CI_Upper,OLS_R2,AIPW_ATE,AIPW_CI_Lower,AIPW_CI_Upper,AIPW_p,AIPW_N_Treated,AIPW_N_Control,Control_Mean_CT6,Relative_Change_Pct,OLS_q_value,AIPW_q_value
MO14_WorkflowAI_MainDF,mo14_ai_automate_routine_tasks_pct,CT6_Hospital_Deaths,2896,0.03618680185659355,0.5381690782440889,-0.07902870428491464,0.15140230799810173,0.5789072178693326,-16.87353941208326,-29.903471889604862,-6.191087305541113,0.007984031936127744,414,2482,257.4882133666686,-6.553130798284341,0.8139146016368315,0.031936127744510975
MO14_WorkflowAI_Bridge,mo14_wfaiart,CT6_Hospital_Deaths,2263,-2.4112652362720652,0.6511205675512055,-12.862238355275094,8.039707882730964,0.5901063402128657,-9.278732223754133,-20.406444965137975,0.4266529211735881,0.07984031936127745,396,1867,242.018381291464,-3.8338956628999625,0.8139146016368315,0.10645375914836992
MO21_Robotics_MainDF,mo21_robotics_in_hospital_pct,CT6_Hospital_Deaths,2896,0.10064774162311287,0.04621426436374334,0.0016897432436979304,0.1996057400025278,0.5794045369246427,-12.9518328760835,-27.919003394051845,0.054525667692477665,0.059880239520958084,773,2123,272.23874998269287,-4.757527308991424,0.12323803830331558,0.09580838323353294
MO21_Robotics_Bridge,mo21_robohos,CT6_Hospital_Deaths,2263,0.723475740861538,0.8570562230381421,-7.148859091265922,8.595810572988999,0.5900768560075595,-7.9234348107815435,-19.70418182049293,4.438759603829662,0.22355289421157684,756,1507,259.20391783093504,-3.056834509711994,0.8570562230381421,0.2554890219560878
MO1_GenAI_Composite,mo1_genai_composite_score,CT6_Hospital_Deaths,2896,0.6674297063232119,0.7121752764322276,-2.8782732345012625,4.213132647147686,0.5788817652656569,10.090990226470751,-15.099726146409711,36.66026798867195,0.6826347305389222,567,2329,261.6210497980874,3.8571018021136774,0.8139146016368315,0.6826347305389222
FA21_PSI90_Safety,fa21_psi_90,CT6_Hospital_Deaths,2263,9.228828639094884,0.2651049820699295,-7.0023915472831195,25.46004882547289,0.5901768909973648,7.6843804345973865,0.7427630980251559,14.268469653896863,0.015968063872255488,1131,1132,214.24086323289697,3.5867949366147998,0.530209964139859,0.031936127744510975
EF6_OP18b_ED_Timeliness,ef6_op_18b,CT6_Hospital_Deaths,2263,0.17992813127673715,0.003093897799111691,0.06071829386942701,0.2991379686840473,0.5931223230643136,28.265364824040006,10.677051583447895,46.930153621447765,0.003992015968063872,1131,1132,257.54620101601114,10.974871581306223,0.024751182392893527,0.031936127744510975
EF23_SEP1_Sepsis,ef23_sep_1,CT6_Hospital_Deaths,2263,-0.2607378958530007,0.013786041799517161,-0.46824108052318425,-0.05323471118281717,0.5909049719127135,-9.319681181765475,-15.445828079383274,-2.7205936968283027,0.011976047904191617,1130,1133,246.33398089125325,-3.7833518331682168,0.055144167198068646,0.031936127744510975
