Treatment,Outcome,N,N_Treated,N_Control,ps_min,ps_max,ps_mean,ps_auc,ps_brier,prevalence_treated,clip_01_99_ps_min_t,clip_01_99_ps_max_t,clip_01_99_ps_min_c,clip_01_99_ps_max_c,clip_01_99_w_mean,clip_01_99_w_median,clip_01_99_w_p95,clip_01_99_w_p99,clip_01_99_w_max,clip_01_99_ess_t,clip_01_99_ess_c,clip_005_995_ps_min_t,clip_005_995_ps_max_t,clip_005_995_ps_min_c,clip_005_995_ps_max_c,clip_005_995_w_mean,clip_005_995_w_median,clip_005_995_w_p95,clip_005_995_w_p99,clip_005_995_w_max,clip_005_995_ess_t,clip_005_995_ess_c,clip_02_98_ps_min_t,clip_02_98_ps_max_t,clip_02_98_ps_min_c,clip_02_98_ps_max_c,clip_02_98_w_mean,clip_02_98_w_median,clip_02_98_w_p95,clip_02_98_w_p99,clip_02_98_w_max,clip_02_98_ess_t,clip_02_98_ess_c
mo1_genai_composite_score,dv15_preventable_stays_rate,3064,570,2494,0.01,0.9716307195947821,0.18935171569626044,0.8526210273076436,0.10216660776863298,0.1860313315926893,0.01,0.9716307195947821,0.01,0.9351093409561748,1.9144264756201745,1.1193313894607924,5.336167717668783,15.964611388678245,100.0,153.22859839897808,2063.1881298664284,0.01,0.9716307195947821,0.01,0.9351093409561748,1.9144264756201745,1.1193313894607924,5.336167717668783,15.964611388678245,100.0,153.22859839897808,2063.1881298664284,0.02,0.9716307195947821,0.02,0.9351093409561748,1.8792826439108248,1.1193313894607924,5.336167717668783,15.964611388678245,50.0,203.0934114912217,2063.8670470292923
mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,299,2765,0.01,0.9452166850909964,0.10106351381109642,0.8488711618596043,0.06767160977316644,0.09758485639686684,0.01,0.9452166850909964,0.01,0.8918886275156436,1.8201224026727887,1.0530391903439105,3.7838509261492352,19.429609980696732,100.0,100.61718680569795,2627.302510090517,0.01,0.9452166850909964,0.01,0.8918886275156436,1.8201224026727887,1.0530391903439105,3.7838509261492352,19.429609980696732,100.0,100.61718680569795,2627.302510090517,0.02,0.9452166850909964,0.02,0.8918886275156436,1.7886206180862076,1.0530391903439105,3.7838509261492352,19.429609980696732,50.0,119.23214617870711,2628.2870521088003
mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,318,2746,0.01,0.9632080416585954,0.1073640298085267,0.8642691255891933,0.06752582028096514,0.10378590078328982,0.012870360972787353,0.9632080416585954,0.01,0.8240013332822603,1.7877755361441108,1.0504229395286093,3.751237763939407,19.570057701928963,77.69789845944224,107.11013993529373,2608.3042963831645,0.012870360972787353,0.9632080416585954,0.01,0.8240013332822603,1.7877755361441108,1.0504229395286093,3.751237763939407,19.570057701928963,77.69789845944224,107.11013993529373,2608.3042963831645,0.02,0.9632080416585954,0.02,0.8240013332822603,1.7686544448212715,1.0504229395286093,3.751237763939407,19.570057701928963,50.0,117.88030722988665,2609.5416152336943
mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,336,2728,0.01,0.9655538044630401,0.11325506979822704,0.8703949780058651,0.070190687975663,0.10966057441253264,0.01,0.9655538044630401,0.01,0.8414900601230306,1.7527187254573795,1.0542131763329325,3.799272244401447,16.729770595485068,100.0,113.008971003036,2563.2284393071736,0.01,0.9655538044630401,0.01,0.8414900601230306,1.7527187254573795,1.0542131763329325,3.799272244401447,16.729770595485068,100.0,113.008971003036,2563.2284393071736,0.02,0.9655538044630401,0.02,0.8414900601230306,1.7375451404404787,1.0542131763329325,3.799272244401447,16.729770595485068,50.0,129.05965400591958,2564.602678769379
mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,416,2648,0.01,0.9577307433443156,0.13923068459233992,0.870368420288171,0.08208688134971798,0.13577023498694518,0.01,0.9577307433443156,0.01,0.9189897362349913,1.7996665542758719,1.0729103535379676,4.474259761380163,14.205374359113149,100.0,118.8516858740955,2361.260294892078,0.01,0.9577307433443156,0.01,0.9189897362349913,1.7996665542758719,1.0729103535379676,4.474259761380163,14.205374359113149,100.0,118.8516858740955,2361.260294892078,0.02,0.9577307433443156,0.02,0.9189897362349913,1.7718725537982802,1.0729103535379676,4.474259761380163,14.205374359113149,50.0,145.41999181452329,2362.5903845032885
mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,452,2612,0.01,0.9647500117060258,0.15091084029989016,0.8615583792977274,0.08754047558267494,0.1475195822454308,0.01,0.9647500117060258,0.01,0.9173838173119592,1.8537721344704226,1.0853221900419696,4.622332641286425,16.004058904568083,100.0,123.60400135511692,2306.8909626461473,0.01,0.9647500117060258,0.01,0.9173838173119592,1.8537721344704226,1.0853221900419696,4.622332641286425,16.004058904568083,100.0,123.60400135511692,2306.8909626461473,0.02,0.9647500117060258,0.02,0.9173838173119592,1.8178862141373433,1.0853221900419696,4.622332641286425,16.004058904568083,50.0,160.2012271203933,2307.906349226478
sp5_irr_county_value,mo1_genai_composite_score,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
sp5_irr_county_value,mo11_ai_staff_scheduling_pct,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
sp5_irr_county_value,mo12_ai_predict_staff_needs_pct,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
sp5_irr_county_value,mo13_ai_predict_patient_demand_pct,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
