Treatment,Outcome,Label,N,N_Treated,N_Control,Threshold,Control_Mean,IPTW_ATE,IPTW_CI_Lower,IPTW_CI_Upper,IPTW_p,ATO_ATE,ATO_CI_Lower,ATO_CI_Upper,ATO_p,ATO_ESS,ATE_Difference,ATE_Pct_Change
mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,MO14→DV21 (YPLL 2020-22),2898,413,2485,0.8992471575327899,10209.030811332841,-455.47414033295354,-877.3239853440027,-111.957488251427,0.003992015968063872,-201.2533106014588,-328.3010611529883,-69.86560791319239,0.003992015968063872,1745.107520177002,254.22082973149475,-55.8145473518339
mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,MO14→DV15 (Preventable Stays),3064,415,2649,0.8992471575327899,2871.3680634201587,-206.48413167041417,-338.8968190539721,-48.56584331735186,0.003992015968063872,-136.64645035534176,-215.74268018357145,-55.32124622971496,0.003992015968063872,1780.7939396397496,69.83768131507242,-33.822299442625415
mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,MO14→CT5 (YPLL 2023 Mid),2896,413,2483,0.8992471575327899,5875.430807577851,-377.52834180406626,-952.0279625967323,153.0673287134185,0.13572854291417166,64.00842820544858,-153.01745081522228,306.9719812315018,0.6307385229540918,1744.9452238177607,441.53677000951484,-116.9546021100234
mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,MO14→CT6 (Hospital Deaths 2023),2896,413,2483,0.8992471575327899,257.442543368292,-17.00131711827686,-29.999016225951934,-6.236487584150369,0.007984031936127744,-2.805244934495228,-9.369560958764122,3.68404092610935,0.41916167664670656,1744.9452238177607,14.19607218378163,-83.4998376009379
mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,MO21→DV21 (YPLL 2020-22),2898,773,2125,0.0,10452.04071047794,-384.9560521581152,-587.8936227742469,-141.35992547948626,0.003992015968063872,-185.5284031377928,-301.56709651785394,-72.01753702358161,0.003992015968063872,1893.161440579579,199.4276490203224,-51.805302943622856
mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,MO21→DV15 (Preventable Stays),3064,773,2291,0.0,2884.1645569620255,-12.43700696141741,-137.7906130280773,123.80769764550762,0.8662674650698603,-16.052302798825636,-97.63662398394972,86.02982961333771,0.7504990019960079,1919.854815819238,-3.615295837408226,29.068857552494293
mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,MO21→CT5 (YPLL 2023 Mid),2896,773,2123,0.0,6336.161461287396,-380.42110367588066,-920.9488855605783,202.0812873029798,0.19161676646706588,-61.20035204533372,-243.9628656852117,137.50548805464462,0.5229540918163673,1892.3277420137222,319.22075163054694,-83.91247187551495
mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,MO21→CT6 (Hospital Deaths 2023),2896,773,2123,0.0,272.23874998269287,-12.9518328760835,-27.919003394051845,0.054525667692477665,0.059880239520958084,-1.8303169558527435,-7.213139382104756,3.1821772916445803,0.5269461077844312,1892.3277420137222,11.121515920230756,-85.86827846402684
