Observed_Prevalence,Sensitivity,Specificity,Latent_Prevalence,Posterior_T1_if_Obs1,Posterior_T1_if_Obs0,N,Successful_Draws,ATE_Median,ATE_P2_5,ATE_P97_5,Label,Treatment,Outcome
0.14295580110497239,0.8,0.95,0.12394106813996301,0.6935909822866336,0.028922911630405546,2896,200,180.53256068044823,-494.44204283939774,1245.9478995585007,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.85,0.95,0.11619475138121535,0.6908816425120765,0.020336422240128913,2896,200,148.86300996072663,-568.7456740165571,1415.8885908063664,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.9,0.9,0.053694751381215544,0.33804347826087,0.006265108783239331,2896,200,-190.96280719203133,-962.3396586769315,979.2894477837597,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.9,0.95,0.1093597660058497,0.6884910485933494,0.012760108072237741,2896,200,-2.1827855229037905,-592.6638289288467,1410.8332274017282,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.95,0.95,0.10328422344996918,0.6863660762211478,0.006025606589667829,2896,200,-214.70854908336617,-838.9465059474037,710.3447261949991,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.95,0.98,0.13221053882255085,0.8785933198275407,0.007713169227036818,2896,200,-99.47075363446284,-694.464930545792,1025.893205400955,MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid
0.14295580110497239,0.8,0.95,0.12394106813996301,0.6935909822866336,0.028922911630405546,2896,200,7.741682370665024,-13.953839301529662,44.16897152492319,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14295580110497239,0.85,0.95,0.11619475138121535,0.6908816425120765,0.020336422240128913,2896,200,1.0831939382829257,-18.780521840372902,55.098768240241256,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14295580110497239,0.9,0.9,0.053694751381215544,0.33804347826087,0.006265108783239331,2896,200,-13.10179041501703,-35.943630817079715,20.77344413021419,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14295580110497239,0.9,0.95,0.1093597660058497,0.6884910485933494,0.012760108072237741,2896,200,-5.580726726016936,-23.824741697052175,32.36351902630481,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14295580110497239,0.95,0.95,0.10328422344996918,0.6863660762211478,0.006025606589667829,2896,200,-14.70762893239512,-31.658485771170223,18.659325204261826,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14295580110497239,0.95,0.98,0.13221053882255085,0.8785933198275407,0.007713169227036818,2896,200,-10.741666039835929,-26.799115937899625,24.707268027982682,MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj
0.14285714285714285,0.8,0.95,0.12380952380952366,0.6933333333333326,0.028888888888888846,2898,200,-82.6800081404758,-514.6231672308933,590.1744973545848,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
0.14285714285714285,0.85,0.95,0.11607142857142846,0.6906249999999994,0.020312499999999983,2898,200,-178.39282823516487,-663.9367857127871,368.94727975707735,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
0.14285714285714285,0.9,0.9,0.05357142857142866,0.3375000000000006,0.006250000000000009,2898,200,-465.28579262191965,-979.6502548361279,294.17396582753463,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
